device.id,highestPrice,purchaseCount,first_purchase_time,last_purchase_time,observation_period_end
017D8E20CED60E8920E39EF84170E0203BEEE7DF,2000,25,1406763595193,1406823327193,1412120576524
018447EFCF05035DC36F2908D19A6247F6B0F9FF,70000,188,1406123948337,1408554319016,1412120576524
018D4FE95EDDF0A95C764BC27B725EF898D4C6B8,400,2,1405991066591,1405991066591,1412120576524
0190E5BA8BC63BDDF98873B7CEA208FCF994331C,2000,3,1406270083335,1406277559121,1412120576524
0196C3906E32FBE4EF8DF7FB9075E6349C4ACFFD,5000,6,1405574350029,1405574692339,1412120576524
0199CF16165723FC6C27B7FF919AC2EEB70C5A54,544,11,1404646560068,1404646669210,1412120576524
019C103E47AD13E32AF4B4B0FDD474385EDE707E,544,13,1406007231747,1406007747267,1412120576524
01A2DE223289C285F9A4224D997D7689DF208D70,760,7,1405045110683,1405045171188,1412120576524
01A5A215AAC1141E03ACB26BE8E6B7F528D43B0B,5000,4,1405741216399,1405792727494,1412120576524
01AEF656CC5596F9FF230635A74DFAD37550EC34,5000,49,1405666528969,1405824772550,1412120576524
01B9CD994711FE21BB766533572C177FB9BA0EC7,15000,61,1405302652585,1405447204553,1412120576524
01BD1040C6B0CD0B2068E3CE3997F0FF2E10A20D,760,7,1405529727102,1405748837080,1412120576524
01BD5F5826D14078456D273FCF240E2F1A1BF73F,5000,2,1405108278135,1405108541874,1412120576524
01C5C3957F28650491B561F6DFC7A9A9F3BD87C1,760,8,1405910372694,1405910375482,1412120576524
01D1B6BC586CE8AF440AB7654CA317918EAFEAF8,608,7,1404483024464,1404483939339,1412120576524
01D6A8CE07D46F15CB51DAD8CB6680FE4D3EAB58,400,5,1405450186313,1405450241894,1412120576524
01E35B1CD6117D54D1D3D4BCF6A2E1E862D1780D,760,16,1404635983547,1404745984030,1412120576524
01F2458863F741F4C4943F5D7E49D38B780EC02E,440,9,1405275443754,1405275561317,1412120576524
01F415E30ECE4C8C6361CF10FE13BD8936BD25F5,400,1,1405556824392,1405556824392,1412120576524
01F46A9CD62EF2DDFE520FFDBCE94DFD3AE790BB,760,18,1405714565098,1405714988587,1412120576524
01F69B3979FA4E2738563AF5AD2356A27E318F70,680,14,1405387078989,1405387429804,1412120576524
022594156EB86CB14E170FED6595FEBF47D8676F,1050,6,1405384817207,1405385187470,1412120576524
02417A0BF8B6D586530446BF015B71DEF83FE7FE,440,10,1406134995255,1406135264860,1412120576524
0250AB125DC27E23ED95B0BA732FD3B81EF2124A,20000,27,1405481776282,1405546648850,1412120576524
02528B6B8FBD378170E8AB54604E78E451C8BB1F,2000,32,1405388525769,1405630029188,1412120576524
02530DEB6DEAD93647A8AA7DFB110CC877C166F9,400,2,1405643515147,1410996082849,1412120576524
0258E7AA2AA6D6B528109D544F3CBDBCF795691D,440,10,1405737304476,1405737377697,1412120576524
0271CFD06298A375C872E5FE0A36FFCE200F8330,2000,28,1405529288668,1405616400009,1412120576524
02725BC98C4DE3AB34FC90591DD641ADE4621AAE,2000,1,1405660149534,1405660149534,1412120576524
0272969AE6246F4DDB74685976C35E9F30F617BD,5000,14,1405001988115,1405003070610,1412120576524
02776182279D83291420649AEB9C1B861C0A7A48,488,8,1405231718671,1405231744479,1412120576524
028A49AE91986882B1DBAA813E1C76DE7CD7BB43,400,5,1406065908799,1406065908799,1412120576524
028E608122431A6500158E912C72804E370D13DC,488,7,1404886452221,1405149936327,1412120576524
0297A853BA2B2713B46C0E2A0683023877C96AFF,5000,62,1406659535883,1406816565270,1412120576524
02ABA548452E13DA620900D54342DA781FDAB778,440,5,1405617648424,1405617669024,1412120576524
02B1B4B44A9E2EF7008B29B74E132705A510F7C9,400,2,1406077572971,1406077572971,1412120576524
02BB962353D77FA28D712FA5EB30EF2AA6360718,400,1,1405040806423,1405040806423,1412120576524
02BF8FD5D987B49F0E3C2012A412B53EA521A4E1,20000,115,1406080241444,1406181180957,1412120576524
02C91D1C07B45FBC9DB80C4891F7153AA32D46A7,5000,62,1405048690894,1405194195869,1412120576524
02CCE87C2B540041AD5FD02AAE29E8BBE66E0973,400,1,1405510747832,1405510747832,1412120576524
02CF6A9B483A8E24CE907E4EDE6652A6D8F1EA21,15000,55,1405223611881,1411951700277,1412120576524
02D26BBF4458EC5E021C71ABF7C6AAA6A01B24D8,130000,281,1405686678357,1408707608084,1412120576524
02D94150370D01E3D8EFABC5275EE2ECAF11FA12,608,16,1405273350497,1405273853934,1412120576524
02E1DFFF9E656938D9CACDDA8EFDF1BD1D5AD16E,2000,26,1406908826018,1408890431475,1412120576524
02E423E27040B8827A26729458C3DAE8C04D9583,608,5,1405427922067,1405427922067,1412120576524
02E64F0791561AB221354EE27FB4DC6DE69D95F3,760,12,1405275318604,1405275556014,1412120576524
02EE6727E799D1675910A4AC4235418D4BF00336,760,23,1406302445291,1406311591815,1412120576524
02EED2B4E033ABF3F29D685C513842C1F07E4C56,400,1,1404965810984,1404965810984,1412120576524
02F0A9D81C5B54BF6A36588C9293F2C98B467AC1,70000,187,1405403448671,1411056356743,1412120576524
02FA5594C26011766B1DC79A2225EAB8056E2F76,400,2,1406019251603,1406019320471,1412120576524
030202F49C3B29B27C527A237C2CA5FB9490F9BF,760,47,1406095740372,1406096811731,1412120576524
0304E67EFED1FD78DD31B1A0E4887380C7C084F0,680,6,1406311698034,1406311707994,1412120576524
030F459D86DC2FA6F8B8948E6CC64BF75E65952D,760,36,1405189953376,1405269003249,1412120576524
0319F34EDD4969565FD68DA16E959A218A24B380,760,31,1406170542412,1406243187267,1412120576524
03239773EA6D8979B40884B6AFF581A17CE9994A,544,12,1406171255203,1406171426612,1412120576524
0328508C69302730605E95690AB3971759C7D564,400,1,1406498825261,1406498825261,1412120576524
033137FA151EC1DC4F2340CC0250CDDBD762B61E,488,8,1405222823057,1405222843057,1412120576524
03360753995DA3CC1EEE6782F53A108B55835792,20000,53,1405052321772,1405565860824,1412120576524
0339315B2CAC1A6EDE7FF7E88815E1B604F8D39E,2000,31,1405362299668,1407963735551,1412120576524
033ADF74341DFCDC087B277E5F37482170DD8EC6,400,1,1405971675272,1405971675272,1412120576524
0340E84BAB44333786EC0E9FE93C0512D6159F54,440,3,1405370612585,1405370612585,1412120576524
03415EF822DDEC90C4B8B96BA5E0F875A9979417,544,11,1405131067240,1405131170723,1412120576524
03488D19C87899754B69A48BC5CC30BF863E69FB,2000,23,1405392168405,1405393929851,1412120576524
0349BB9E32B1AABBACE91F774749E7A33B8C231D,5000,20,1404962395769,1404963214586,1412120576524
034D76AE183E6871510FE79743C955450619C427,400,1,1405638552214,1405638552214,1412120576524
0355E3C45EFB377FDF9645B34FB7304C53845FD3,20000,64,1404773796535,1405902805067,1412120576524
035A87554F2063E0A54C4CA439A14220D21F2009,400,1,1406424257542,1406424257542,1412120576524
035E3E211E8CE73992DAE471CB8C51D0D1D60C12,8000,5,1405050532896,1405276613262,1412120576524
035FF2967D4FCA6DA91CFBE5F29D3DDF5AC9EF95,400,1,1405149132307,1405149132307,1412120576524
03660D06B3B817007AB830F200525D9AB97952F0,488,15,1405394848254,1405395401354,1412120576524
036AB8A14174DF3C324268BD9C9D18E1C33CCF0C,5000,13,1404887581429,1407632549719,1412120576524
036BDA45C65AEEAA200D501E84A810DC106F7EB6,760,16,1406228351401,1406228863030,1412120576524
036CC10CCFC29C591151C0491DEBDDC4A1D8824E,2000,35,1406421487345,1406472695772,1412120576524
03712B7E7A9EAD1C4D89859430D92EE2F31B84A5,400,1,1405222841198,1405222841198,1412120576524
0372FBF5A4F105125EAA8D7DD9268390E4ED443C,70000,172,1404909508664,1408227596193,1412120576524
03809080C4F8F5C82339633881C2A3B9C530C833,680,16,1406439396844,1406572734474,1412120576524
03817BC343F43A7BF19D5401B9C51C9745CDCF0F,760,25,1405061325863,1405061418352,1412120576524
038F9C5DE7C7A57D679AEC603AFBB348262BAED2,760,11,1405575777871,1406269929255,1412120576524
0399A21E0636B725B15529D41D9349127338E25D,400,1,1405491484257,1405491484257,1412120576524
03A500D1D2F4748C332F96D16028827194E4EDB6,20000,176,1404927031634,1405007986828,1412120576524
03A58CF1E3DF04F02783F92EA4A894A49ACC8E4E,2000,28,1405448384880,1406046582955,1412120576524
03AF4A06C3752EA5E58C6D58FF3161FAE0CA59DF,5000,11,1405491245620,1405625361231,1412120576524
03B7F57D760B7E3DAA7E370E05409163B255CCF4,2000,95,1405001093794,1407431705448,1412120576524
03BCDB8BBF13303CCFE74DF41B855FF51E36895D,400,2,1405275861528,1405275910121,1412120576524
03C2B5D97EA285187C0AFC771F599EB4A3A13978,488,3,1405312875115,1405312875115,1412120576524
03CE633B17616A67C8718CA8A95128BD0724B2CF,400,1,1405805707904,1405805707904,1412120576524
03EB563A15FF1FC349F705C99B94F11D9CE1528A,5000,11,1405013484010,1405014018613,1412120576524
03F1B1701BFCB2F33801904BEEBD09A510037C7E,5000,20,1405285259714,1405316719708,1412120576524
03F337A3DD6C49D9DF067972D473F25F668E36BF,20000,232,1406050758529,1406052092053,1412120576524
03F4958C6A767C0FE122ABE911EB4E4F79699460,5000,25,1405040246684,1405255280410,1412120576524
03F8B4A539365892B91716F1540A2D326F7E020A,2000,33,1405560808245,1405637109652,1412120576524
040ACB00DF1F57C416888A90BC88313C64ECAE74,400,1,1406348333711,1406348333711,1412120576524
040E0058A78CFEF8883054FB95378C75546DAB02,15000,60,1405307766324,1405641449251,1412120576524
04131775C3A293A4C79FCC6C6D57B0EC8C62798D,760,8,1406100567957,1406100796897,1412120576524
0414BE46B2838A32142281FC2AB96820E08065A8,2000,40,1405475905115,1405784798518,1412120576524
04256FA4432B67935CFB7238D4EE88F60D2783EB,400,1,1404261664590,1404261664590,1412120576524
042CECA058D023F2F206779B143E770240271F3D,2000,37,1404866906735,1405301686933,1412120576524
042FF5E25E31F4DACD4CF19C5CE0B062D4909D88,760,38,1405777624177,1405777755254,1412120576524
043ACF235CB173485462CFC6F33DBFB633077DB3,488,12,1405286390654,1405286523752,1412120576524
044CC3A4E510CCAC61D4F3DDF55B9DE4D2945FF6,40000,172,1405184570478,1409916614996,1412120576524
044D72B5E5A2C1B30856ABD9AD6B348915E2A37A,760,9,1404380412345,1404455585493,1412120576524
04589F6D94ECE90D06C1A8E2811D79DF6BB58DDE,680,6,1404262073920,1404262090778,1412120576524
045B6A6DEE5AE7A92CDB5B6CF8FF7CC7A12C4C95,5000,6,1406689894535,1406690413338,1412120576524
045CEB7429594D36C9B7E80830266B5B2A64E126,608,12,1404953096051,1404953621465,1412120576524
046205F204887D240ECE46D09817E12934DCD893,2000,49,1405307559050,1405460254461,1412120576524
0463C0EB2F288C5FF51F22024B8BC1C67F254D38,680,7,1405627597832,1405627745208,1412120576524
0463C9C27D2D4923399C458F36A14F7CCBA71C9F,5000,15,1406498659336,1406702884136,1412120576524
04651FADA09E2540D05EF7393734E6CF94CA543A,2000,20,1404856782942,1404967012195,1412120576524
04680B7923F9A82FBA741272E9512F9A9DC06374,544,14,1405097426060,1405098170689,1412120576524
04689C265B75B1BDCDE9061D80E1B71A49857D78,760,12,1405053841242,1405108397579,1412120576524
0468D21C6B17C070D146E104DE2A48C27C4607B4,400,1,1405882235609,1405882235609,1412120576524
047DD959B99F38C6397DF29B76BD3AA4C690964D,20000,51,1405230001065,1406434932513,1412120576524
04801230FC0AD076015EEE3F8237E838C1FB455D,400,2,1409754436206,1409754436206,1412120576524
04822966AA19970549EFBABEE1FF0C9CC70E3A10,760,8,1405356029377,1405427058370,1412120576524
048C0030B3F4A610AD1B7ECA39A3ABD4861B01B9,680,4,1405474260862,1405474405558,1412120576524
